,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
33,　　150　印刷・同関連業,平成26年度,572,602,381,403,1156,5364,4184,49509,44581,21053,6851,6449,5389,145922
34,　　160　化学工業,平成26年度,940,3735,1357,507,3761,3664,11452,42358,46380,63453,57042,68475,180390,482574
35,　　170　石油製品・石炭製品製造業,平成26年度,52,404,-,261,77,9430,2947,3780,1261,846,1648,1835,703,23192
36,　　180　プラスチック製品製造業,平成26年度,784,1061,621,342,2539,5119,8055,41772,32070,43496,19879,10180,24704,189838
37,　　190　ゴム製品製造業,平成26年度,154,120,88,75,296,137,2082,6209,7915,6084,4435,10459,32175,70075
38,　　200　なめし革・同製品・毛皮製造業,平成26年度,25,-,-,-,-,91,-,1316,687,68,587,-,345,3094
39,　　210　窯業・土石製品製造業,平成26年度,460,648,452,533,604,4625,4408,18442,18669,16016,11992,5698,20362,102449
40,　　220　鉄鋼業,平成26年度,443,540,256,177,925,1456,2692,30705,30654,48971,39180,8060,14282,177898
41,　　230　非鉄金属製造業,平成26年度,368,1412,1060,308,1304,2043,5492,26133,38406,20316,12836,4321,15252,128883
42,　　240　金属製品製造業,平成26年度,1069,818,880,627,1514,1818,5375,40373,59838,33731,36125,17294,45552,243945
43,　　250　はん用機械器具製造業,平成26年度,540,728,261,375,473,1091,1607,16065,20434,19754,26303,16329,56906,160326
44,　　260　生産用機械器具製造業,平成26年度,1017,5050,451,615,1523,3266,5416,28742,43321,34732,35436,29452,92799,280803
45,　　270　業務用機械器具製造業,平成26年度,429,1636,57,1154,390,2144,3319,17167,27051,46493,18972,17348,99226,234957
46,　　280　電子部品・デバイス・電子回路製造業,平成26年度,663,3949,9321,2684,20200,7182,20049,37567,47258,65792,22048,14581,103262,353893
47,　　290　電気機械器具製造業,平成26年度,748,876,1063,550,698,9786,7461,44841,48001,92443,80637,32803,52587,371746
48,　　300　情報通信機械器具製造業,平成26年度,243,1712,-,368,545,4920,3843,65006,21744,13788,8060,24162,26313,170461
49,　　310　輸送用機械器具製造業,平成26年度,1310,2466,640,1661,3047,6377,25122,101007,123295,233319,136989,159731,230903,1024557
50,　　320　その他の製造業,平成26年度,332,859,67,258,284,1901,4272,13534,16996,12322,7070,4799,22826,85188
51,　電気・ガス業,平成22年度,127,202,292,60,291,771,857,12702,19325,95991,20657,28092,1372,180612
52,　電気・ガス業,平成23年度,130,48822,-,39195,379,24776,10666,15755,26352,10379,3044,1997,764,182129
53,　電気・ガス業,平成24年度,130,45450,55,37556,94,41954,5317,9321,13642,14421,11698,1600,516,181624
54,　電気・ガス業,平成25年度,136,5967,11972,-,23208,19319,14669,47375,29784,18952,10652,501,760,183159
55,　電気・ガス業,平成26年度,139,-,104,73,34607,1306,6252,28323,53818,35780,20542,161,1850,182816
56,　　331　電気業,平成26年度,48,-,104,73,34607,1231,6075,23420,46652,29103,2696,-,1153,145114
57,　　341　ガス業,平成26年度,91,-,-,-,-,75,177,4903,7166,6677,17846,161,697,37702
58,　情報通信業,平成22年度,2217,5878,1493,1412,5164,12933,49094,141190,199745,155661,114499,42536,115030,844635
59,　情報通信業,平成23年度,2453,9137,1496,3626,3192,9716,31346,175237,166500,194532,79947,75785,129059,879573
60,　情報通信業,平成24年度,2467,7087,1256,2943,8023,4891,15693,132964,211876,183779,138351,80364,125766,912993
61,　情報通信業,平成25年度,2478,9167,1541,1857,3926,2860,22304,139365,201907,203745,116061,80759,152570,936062
62,　情報通信業,平成26年度,2490,5994,1633,2450,3591,4626,12374,165725,197186,202546,131495,85258,177085,989963
63,　　391　ソフトウェア業,平成26年度,1474,2945,249,1131,2321,2502,5672,105548,135469,99908,74837,66017,91119,587718
64,　　392　情報処理・提供サービス業,平成26年度,532,429,390,796,503,671,3074,38320,43170,79737,41076,11132,48586,267884
65,　　401　インターネット附随サービス業,平成26年度,197,1892,159,-,292,256,2181,5392,6068,2688,4889,3823,27681,55321
66,　　411　映画・ビデオ制作業（※）,平成26年度,95,115,151,-,145,391,348,2870,2521,3975,2055,1159,3117,16847
67,　　413　新聞業,平成26年度,84,196,133,98,-,389,94,8704,7401,12589,5526,1801,2194,39125
68,　　414　出版業,平成26年度,108,417,551,425,330,417,1005,4891,2557,3649,3112,1326,4388,23068
69,　卸売業,平成22年度,5714,8379,2056,5809,5109,47688,74230,738920,315031,109777,57960,30266,52605,1447830
70,　卸売業,平成23年度,5899,4500,1949,18662,3128,12699,53782,700077,374737,121398,80655,35919,51057,1458563
71,　卸売業,平成24年度,5841,2640,613,2334,3414,9909,66445,676381,369528,153257,71153,28331,67729,1451734
72,　卸売業,平成25年度,5741,2424,707,2089,6225,16785,45529,677486,374591,184940,66568,53666,70066,1501076
73,　卸売業,平成26年度,5804,3934,709,4922,8284,20663,86803,685447,343001,172464,88487,44762,98543,1558019
74,　　511　繊維品卸売業,平成26年度,74,-,-,96,57,430,498,2790,5841,599,374,232,349,11266
75,　　512　衣服・身の回り品卸売業,平成26年度,314,827,90,1135,1620,4146,6737,27951,12590,9679,11884,8486,3062,88207
76,　　521　農畜産物・水産物卸売業,平成26年度,471,-,-,55,60,553,7760,60041,11653,1582,1460,333,710,84207
77,　　522　食料・飲料卸売業,平成26年度,556,112,-,74,1387,672,16216,105068,23701,13692,9599,935,3790,175246
78,　　531　建築材料卸売業,平成26年度,488,-,60,-,248,369,1477,35767,20856,20077,4058,956,1576,85444
79,　　532　化学製品卸売業,平成26年度,330,126,-,-,279,196,396,20827,16739,5933,1938,1982,1270,49686
80,　　533　石油・鉱物卸売業,平成26年度,199,-,-,57,-,9153,6785,34006,18206,8214,6832,-,2155,85408
81,　　534　鉄鋼製品卸売業,平成26年度,255,-,-,-,-,105,5633,24892,12242,2961,2400,178,75,48486
82,　　535　非鉄金属卸売業,平成26年度,70,57,-,-,-,-,310,10331,1965,885,1222,170,-,14940
83,　　536　再生資源卸売業,平成26年度,89,-,-,-,59,63,304,7324,3147,924,1098,812,822,14553
84,　　541　産業機械器具卸売業,平成26年度,472,-,-,-,156,296,1577,41082,38755,27142,7842,8879,4616,130345
85,　　542　自動車卸売業,平成26年度,313,-,-,-,-,106,1066,39500,26721,10052,2766,817,5556,86584
86,　　543　電気機械器具卸売業,平成26年度,674,1184,60,2435,1884,2219,4516,67559,77097,19338,16211,5092,18344,215939
87,　　549　その他の機械器具卸売業,平成26年度,352,159,-,-,239,419,542,30916,16993,8972,3106,4148,10551,76045
88,　　551　家具・建具・じゅう器等卸売業,平成26年度,152,128,125,-,186,61,876,14568,6726,3330,2204,97,632,28933
89,　　552　医薬品・化粧品等卸売業,平成26年度,244,1238,208,918,1499,242,26444,91640,13629,14253,7874,2305,22407,182657
90,　　553　紙、紙製品卸売業,平成26年度,114,-,-,57,-,52,856,13854,4030,438,299,394,164,20144
91,　　559　その他の卸売業,平成26年度,637,103,166,95,610,1581,4810,57331,32110,24393,7320,8946,22464,159929
92,　小売業,平成22年度,3488,10034,5295,6349,9350,22141,172704,1259815,690975,297009,109409,54134,124601,2761816
93,　小売業,平成23年度,3636,6500,1924,8519,5592,26780,107286,1097410,961807,439959,101586,88682,138701,2984746
94,　小売業,平成24年度,3639,6083,3843,3625,9763,27917,176952,1311648,753868,451125,118721,113937,148439,3125921
95,　小売業,平成25年度,3570,8482,2318,2791,21777,27039,154613,1383323,770854,402297,128449,126183,113090,3141216
96,　小売業,平成26年度,3587,7830,5017,12967,17374,75726,174116,1393469,857834,379134,117617,83768,133613,3258465
97,　　570　織物・衣服・身の回り品小売業,平成26年度,368,1976,2027,6898,3422,16382,18729,85888,66393,36012,20166,25621,80957,364471
98,　　580　飲食料品小売業,平成26年度,899,637,2048,1766,8496,45874,105605,845231,319075,152855,26396,11820,8014,1527817
99,　　591　自動車・自転車小売業,平成26年度,823,480,84,402,373,2420,13548,97962,107655,39523,4163,2487,1208,270305
100,　　593　機械器具小売業,平成26年度,207,94,-,-,3538,531,1647,70633,36879,7847,6354,4710,3053,135286
101,　　602　家具・建具・じゅう器小売業,平成26年度,60,863,-,53,62,264,4272,5864,5992,3867,51,6763,19795,47846
102,　　603　医薬品・化粧品小売業,平成26年度,231,1153,186,-,113,1316,3428,53714,98453,53674,31179,4011,5567,252794
103,　　605　燃料小売業,平成26年度,372,-,-,-,77,1069,3329,63758,13438,7560,2754,917,1756,94658
