産業__産業分類名称_総合計,__時間軸コード_2015100000,列見出し4_列見出し5_単位（列）_年度_2015年度,_社_8527,_百万円_356508776,_百万円_14504871,_百万円_12079769,_百万円_2425102,うち、関係会社への委託_国内_百万円_961675,うち、関係会社への委託_海外_百万円_462589,_％_4.07,_百万円_1156934,国内_百万円_89187,海外_百万円_16646,_社_1924,_百万円_644839,_社_8971,_百万円_212407
医薬品・化粧品小売業,2019100000,2019年度,18,674204,3788,1419,2369,1298,***,0.56,20,***,***,***,***,76,1602
燃料小売業,2019100000,2019年度,3,21215,51,51,***,***,***,0.24,***,***,***,1,,108,646
その他の小売業,2019100000,2019年度,23,605486,971,866,105,18,***,0.16,30,***,***,1,,102,1767
無店舗小売業,2019100000,2019年度,15,373905,10501,9577,924,23,***,2.81,***,***,***,2,,46,1865
クレジットカード業、割賦金融業,2019100000,2019年度,3,646946,587,550,37,***,***,0.09,***,***,***,***,***,31,944
物品賃貸業,2019100000,2019年度,14,139106,327,306,21,***,***,0.24,***,***,***,***,***,94,1516
産業用機械器具賃貸業（レンタルを含む）,2019100000,2019年度,13,,,,21,***,***,,***,***,***,***,***,50,594
事務用機械器具賃貸業（レンタルを含む）,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,13,124
自動車賃貸業（レンタルを除く）,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,17,366
その他の物品賃貸業（レンタルを含む）,2019100000,2019年度,1,,,,***,***,***,,***,***,***,***,***,14,432
学術研究、専門・技術サービス業,2019100000,2019年度,143,5003368,769149,755201,13948,1349,8,15.37,732703,25837,27480,27,29090,238,5701
学術・開発研究機関,2019100000,2019年度,35,949722,732868,721014,11854,826,8,77.17,692860,14377,11024,13,26306,42,938
デザイン業,2019100000,2019年度,1,,,,***,***,***,,***,***,***,***,***,1,
エンジニアリング業,2019100000,2019年度,58,2800893,31716,29861,1855,452,***,1.13,16529,4513,90,10,2705,86,2817
広告業,2019100000,2019年度,10,978912,188,67,121,43,***,0.02,***,***,***,1,,53,1062
機械設計業,2019100000,2019年度,11,98984,3228,3199,29,22,***,3.26,23014,6647,16366,1,,22,485
商品・非破壊検査業,2019100000,2019年度,12,,,,2,***,***,,***,***,***,***,***,10,
計量証明業,2019100000,2019年度,15,97546,406,319,87,6,***,0.42,300,300,***,2,,24,201
写真業,2019100000,2019年度,1,,,,***,***,***,,***,***,***,***,***,***,***
飲食サービス業,2019100000,2019年度,67,822280,988,980,8,1,***,0.12,***,***,***,***,***,100,1366
一般飲食店,2019100000,2019年度,63,757489,960,952,8,1,***,0.13,***,***,***,***,***,88,1113
持ち帰り・配達飲食サービス業,2019100000,2019年度,4,64791,28,28,***,***,***,0.04,***,***,***,***,***,12,253
生活関連サービス業、娯楽業,2019100000,2019年度,15,146976,223,220,3,***,***,0.15,***,***,***,***,***,111,1578
洗濯業,2019100000,2019年度,4,6006,11,11,***,***,***,0.18,***,***,***,***,***,28,359
その他の洗濯・理容・美容業・浴場業,2019100000,2019年度,4,35044,29,29,***,***,***,0.08,***,***,***,***,***,6,40
冠婚葬祭業（冠婚葬祭互助会を含む）,2019100000,2019年度,3,46397,5,,,***,***,0.01,***,***,***,***,***,42,248
"写真プリント,現像・焼付業",2019100000,2019年度,1,,,,***,***,***,,***,***,***,***,***,2,
その他の生活関連サービス業,2019100000,2019年度,1,,,,,***,***,,***,***,***,***,***,4,
映画館,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,4,53
ゴルフ場,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,5,22
スポーツ施設提供業（注）,2019100000,2019年度,2,,,,***,***,***,,***,***,***,***,***,11,658
公園、遊園地・テーマパーク,2019100000,2019年度,***,***,***,***,***,***,***,***,***,***,***,***,***,9,183
個人教授所,2019100000,2019年度,1,,,,***,***,***,,***,***,***,***,***,1,
