産業__7755_7809,__381433333_388068055,計__12511047_12527980,自社研究開発費（百万円）__10564866_10730376,委託研究開発費（百万円）__1946181_1797604,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_-,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_-,__3.28_3.23,__431795_403713,_うち、関係会社からの受託_国内（百万円）_-_-,_うち、関係会社からの受託_海外（百万円）_-_-,__2465_2293,__885842_822587,__-_-,__-_-
5,38044,757,756,1,,,1.99,12,,,1,,11,
13,69391,519,493,26,26,,0.75,5697,2320,,2,,18,128
3,,,,2,,,,8,,,,,1,
68,963081,1170,1058,112,108,,0.12,,,,,,106,1182
60,745141,1126,1017,109,105,,0.15,,,,,,94,916
8,217940,44,41,3,3,,0.02,,,,,,12,266
11,345767,1055,1041,14,,,0.31,,,,,,99,834
5,194311,812,812,,,,0.42,,,,,,16,73
3,18310,,,,,,0.12,,,,,,16,142
,,,,,,,,,,,,,30,304
,,,,,,,,,,,,,2,
,,,,,,,,,,,,,2,
,,,,,,,,,,,,,3,15
,,,,,,,,,,,,,13,35
2,,,,,,,,,,,,,11,76
,,,,,,,,,,,,,5,173
1,,,,,,,,,,,,,1,
,,,,,,,,,,,,,3,9
124,1786441,13410,12120,1290,427,,0.75,2331,37,,17,,404,4956
27,173418,938,897,41,21,,0.54,43,37,,4,58,47,285
47,1030481,8981,8841,140,11,,0.87,2116,,,7,152,115,1601
1,,,,,,,,,,,,,4,34
8,47387,116,115,1,1,,0.24,64,,,,,80,1235
6,81752,154,154,,,,0.19,,,,,,1,
,,,,,,,,101,,,,,14,54
35,,,2113,,394,,,7,,,6,,143,
36,914601,16500,14510,1990,277,4,1.8,318,,,5,1255,131,1823
116,6168626,26859,21495,5364,262,20,0.44,1558,107,,19,4228,241,3084
